STD_YYYYMM,SIDO,비염환자(질병),아토피환자(질병),천식환자(질병),평균기온(기후),상대습도(기후),증기압(기후),최고기온(기후),최저기온(기후),풍속(기후),미세먼지,미세먼지(농도),미세먼지(농도80),초미세먼지,초미세먼지(농도),초미세먼지(농도35),아황산가스,아황산가스(농도0.05),아황산가스(농도),이산화질소,이산화질소(농도0.06),이산화질소(농도0.03),이산화질소(농도),일산화탄소,일산화탄소(농도9),일산화탄소(농도),차량수,구리(중금속),구리(농도),납(중금속),납(농도0.5),납(농도),니켈(중금속),니켈(농도),망간(중금속),망간(농도),비소(중금속),비소(농도),철(중금속),철(농도),카드뮴(중금속),카드뮴(농도),크롬(중금속),크롬(농도),비염환자(질병)_코로나증감폭,아토피환자(질병)_코로나증감폭,천식환자(질병)_코로나증감폭,평균기온(기후)_코로나증감폭,상대습도(기후)_코로나증감폭,증기압(기후)_코로나증감폭,최고기온(기후)_코로나증감폭,최저기온(기후)_코로나증감폭,풍속(기후)_코로나증감폭,미세먼지_코로나증감폭,초미세먼지_코로나증감폭,아황산가스_코로나증감폭,이산화질소_코로나증감폭,일산화탄소_코로나증감폭,구리(중금속)_코로나증감폭,납(중금속)_코로나증감폭,니켈(중금속)_코로나증감폭,망간(중금속)_코로나증감폭,비소(중금속)_코로나증감폭,철(중금속)_코로나증감폭,카드뮴(중금속)_코로나증감폭,크롬(중금속)_코로나증감폭
201707,서울특별시,239735,33124,31548,26.9,77.0,26.9,30.4,24.3,2.0,33.0,좋음,좋음,22.0,나쁨,좋음,0.004,좋음,좋음,0.023,좋음,좋음,나쁨,0.4,좋음,좋음,3112120.0,0.0369,나쁨,0.0208,좋음,좋음,0.0032,좋음,0.0217,좋음,0.0026,좋음,0.4373,좋음,0.0009,나쁨,0.0031,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201708,서울특별시,327668,33432,32734,25.9,71.0,23.7,29.7,22.9,2.3,21.0,좋음,좋음,13.0,좋음,좋음,0.004,좋음,좋음,0.021,좋음,좋음,나쁨,0.4,좋음,좋음,3113550.0,0.022,나쁨,0.0112,좋음,좋음,0.0026,좋음,0.0122,좋음,0.0016,좋음,0.3508,좋음,0.0004,좋음,0.0022,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201709,서울특별시,504044,31271,45685,22.1,61.0,16.0,27.4,17.5,2.0,32.0,좋음,좋음,19.0,좋음,좋음,0.004,좋음,좋음,0.027,좋음,좋음,나쁨,0.5,좋음,나쁨,3115764.0,0.0261,나쁨,0.0184,좋음,좋음,0.0019,좋음,0.0186,좋음,0.0053,나쁨,0.5744,좋음,0.0005,좋음,0.0021,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201710,서울특별시,367754,25682,41424,16.4,56.0,10.7,22.5,11.6,1.9,29.0,좋음,좋음,15.0,좋음,좋음,0.004,좋음,좋음,0.027,좋음,좋음,나쁨,0.5,좋음,나쁨,3116066.0,0.0338,나쁨,0.0188,좋음,좋음,0.0015,좋음,0.0216,좋음,0.0088,나쁨,0.7351,나쁨,0.0006,좋음,0.003,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201711,서울특별시,482159,27342,51870,5.6,53.0,5.4,10.5,1.3,2.1,42.0,나쁨,좋음,22.0,나쁨,좋음,0.005,좋음,나쁨,0.033,좋음,나쁨,나쁨,0.6,좋음,나쁨,3117713.0,0.0308,나쁨,0.025,좋음,나쁨,0.0037,좋음,0.034,나쁨,0.0029,좋음,1.2093,나쁨,0.0008,좋음,0.0041,나쁨,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201712,서울특별시,552123,25356,56881,-1.9,56.0,3.3,2.2,-5.7,1.8,50.0,나쁨,좋음,32.0,나쁨,좋음,0.005,좋음,나쁨,0.034,좋음,나쁨,나쁨,0.7,좋음,나쁨,3116256.0,0.0291,나쁨,0.0356,좋음,나쁨,0.0022,좋음,0.0241,좋음,0.0049,나쁨,0.7757,나쁨,0.0009,나쁨,0.0023,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201801,서울특별시,507445,26972,54271,-4.0,48.0,2.5,0.1,-7.3,1.9,52.0,나쁨,좋음,32.0,나쁨,좋음,0.006,좋음,나쁨,0.035,좋음,나쁨,나쁨,0.6,좋음,나쁨,3118469.0,0.0208,나쁨,0.0205,좋음,좋음,0.002,좋음,0.0202,좋음,0.0036,좋음,0.5266,좋음,0.0006,좋음,0.0018,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201802,서울특별시,313978,25539,36593,-1.6,45.0,2.6,3.3,-5.9,2.2,53.0,나쁨,좋음,30.0,나쁨,좋음,0.005,좋음,나쁨,0.034,좋음,나쁨,나쁨,0.6,좋음,나쁨,3118125.0,0.027,나쁨,0.0341,좋음,나쁨,0.0028,좋음,0.0233,좋음,0.0045,나쁨,0.8346,나쁨,0.0012,나쁨,0.0024,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201803,서울특별시,410836,28740,46457,8.1,59.0,6.6,13.6,3.8,1.9,52.0,나쁨,좋음,34.0,나쁨,좋음,0.005,좋음,나쁨,0.033,좋음,나쁨,나쁨,0.6,좋음,나쁨,3116691.0,0.0196,나쁨,0.0214,좋음,좋음,0.0018,좋음,0.0108,좋음,0.0054,나쁨,0.4809,좋음,0.0009,나쁨,0.0011,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201804,서울특별시,452606,29984,52823,13.0,55.0,8.0,18.5,8.1,2.0,52.0,나쁨,좋음,26.0,나쁨,좋음,0.004,좋음,좋음,0.031,좋음,나쁨,나쁨,0.5,좋음,나쁨,3119463.0,0.0256,나쁨,0.0202,좋음,좋음,0.0034,좋음,0.0264,좋음,0.0039,좋음,1.2041,나쁨,0.0009,나쁨,0.0029,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201805,서울특별시,345252,31380,46409,18.2,63.0,13.1,23.3,13.4,1.7,42.0,나쁨,좋음,23.0,나쁨,좋음,0.004,좋음,좋음,0.025,좋음,좋음,나쁨,0.4,좋음,좋음,3119696.0,0.0349,나쁨,0.0146,좋음,좋음,0.0024,좋음,0.0169,좋음,0.0021,좋음,0.566,좋음,0.0004,좋음,0.002,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201806,서울특별시,253223,31736,34434,23.1,63.0,17.3,28.4,18.9,1.7,37.0,좋음,좋음,24.0,나쁨,좋음,0.004,좋음,좋음,0.024,좋음,좋음,나쁨,0.4,좋음,좋음,3120469.0,0.016,나쁨,0.0081,좋음,좋음,0.0018,좋음,0.0077,좋음,0.0011,좋음,0.3452,좋음,0.0003,좋음,0.0012,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201807,서울특별시,230246,34809,28609,27.8,68.0,24.6,32.1,24.2,1.5,24.0,좋음,좋음,16.0,좋음,좋음,0.004,좋음,좋음,0.019,좋음,좋음,나쁨,0.4,좋음,좋음,3121497.0,0.0186,나쁨,0.0063,좋음,좋음,0.0021,좋음,0.007,좋음,0.0007,좋음,0.353,좋음,0.0004,좋음,0.0021,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201808,서울특별시,244545,31713,29131,28.8,65.0,24.9,33.3,25.2,1.7,22.0,좋음,좋음,10.0,좋음,좋음,0.004,좋음,좋음,0.017,좋음,좋음,좋음,0.4,좋음,좋음,3121532.0,0.0127,좋음,0.0074,좋음,좋음,0.0033,좋음,0.0067,좋음,0.0018,좋음,0.3259,좋음,0.0002,좋음,0.0016,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
