STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM,AVG_PM2.5
201907,인천광역시,1,0,211,86594,19.0
201908,인천광역시,1,0,217,98292,18.0
201909,인천광역시,1,0,325,166313,14.0
201910,인천광역시,1,0,281,163921,16.0
201911,인천광역시,1,0,250,155536,19.0
201912,인천광역시,1,0,226,172331,25.0
202001,인천광역시,1,0,173,154863,27.0
202002,인천광역시,1,0,95,83107,23.0
202003,인천광역시,1,0,86,55074,21.0
202004,인천광역시,1,0,171,51861,16.0
202005,인천광역시,1,0,437,78880,15.0
202006,인천광역시,1,0,229,60052,17.0
202007,인천광역시,1,0,185,60407,
202008,인천광역시,1,0,126,53578,14.0
202009,인천광역시,1,0,188,89916,10.0
202010,인천광역시,1,0,446,96142,15.0
202011,인천광역시,1,0,348,91698,21.0
202012,인천광역시,1,0,116,55344,24.0
202101,인천광역시,1,0,131,43647,20.0
202102,인천광역시,1,0,224,50669,28.0
202103,인천광역시,1,0,640,99208,33.0
202104,인천광역시,1,0,305,92989,19.0
202105,인천광역시,1,0,188,65472,20.0
202106,인천광역시,1,0,195,58448,23.0
202107,인천광역시,1,0,146,49153,19.0
202108,인천광역시,1,0,140,51076,13.0
202109,인천광역시,1,0,490,104930,8.0
202110,인천광역시,1,0,538,104557,14.0
202111,인천광역시,1,0,301,124126,25.0
202112,인천광역시,1,0,232,82566,24.0
202201,인천광역시,1,0,295,86819,28.0
202202,인천광역시,1,0,180,110844,24.0
202203,인천광역시,1,0,364,152302,22.0
202204,인천광역시,1,0,524,109662,22.0
202205,인천광역시,1,0,376,81608,16.0
202206,인천광역시,1,0,289,70833,12.0
202207,인천광역시,1,0,203,89173,18.0
202208,인천광역시,1,0,202,97128,11.0
202209,인천광역시,1,0,343,129277,14.0
202210,인천광역시,1,0,283,130117,17.0
202211,인천광역시,1,0,189,122668,24.0
202212,인천광역시,1,0,171,137922,20.0
201501,광주광역시,1,0,167,60461,27.0
201502,광주광역시,1,0,226,72042,33.0
201503,광주광역시,1,0,241,76585,35.0
201504,광주광역시,1,0,220,68260,24.0
201505,광주광역시,1,0,161,50851,24.0
201506,광주광역시,1,0,135,36078,27.0
201507,광주광역시,1,0,140,34253,22.0
201508,광주광역시,1,0,206,44393,22.0
201509,광주광역시,1,0,240,85428,
201510,광주광역시,1,0,203,68230,30.0
201511,광주광역시,1,0,153,59373,25.0
201512,광주광역시,1,0,175,71617,27.0
201601,광주광역시,1,0,131,66457,26.0
201602,광주광역시,1,0,169,70054,24.0
201603,광주광역시,1,0,232,74739,29.0
201604,광주광역시,1,0,148,61378,29.0
201605,광주광역시,1,0,171,49286,27.0
201606,광주광역시,1,0,123,37340,23.0
201607,광주광역시,1,0,114,38849,15.0
201608,광주광역시,1,0,167,46631,17.0
201609,광주광역시,1,0,236,77084,21.0
201610,광주광역시,1,0,216,73852,18.0
201611,광주광역시,1,0,177,71701,26.0
201612,광주광역시,1,0,157,84830,26.0
201701,광주광역시,1,0,116,55272,30.0
201702,광주광역시,1,0,133,52059,23.0
201703,광주광역시,1,0,191,81675,33.0
201704,광주광역시,1,0,118,79169,26.0
201705,광주광역시,1,0,134,52112,24.0
201706,광주광역시,1,0,132,38626,22.0
201707,광주광역시,1,0,107,35242,16.0
201708,광주광역시,1,0,148,50156,15.0
201709,광주광역시,1,0,179,82085,22.0
201710,광주광역시,1,0,186,63501,20.0
201711,광주광역시,1,0,182,79634,31.0
201712,광주광역시,1,0,109,86363,28.0
201801,광주광역시,1,0,141,79647,28.0
201802,광주광역시,1,0,158,53707,31.0
201803,광주광역시,1,0,217,72029,32.0
201804,광주광역시,1,0,145,69046,25.0
201805,광주광역시,1,0,103,50465,21.0
201806,광주광역시,1,0,112,38592,27.0
201807,광주광역시,1,0,125,36458,15.0
201808,광주광역시,1,0,178,39822,14.0
201809,광주광역시,1,0,232,84739,13.0
201810,광주광역시,1,0,189,77429,20.0
201811,광주광역시,1,0,154,73166,36.0
201812,광주광역시,1,0,132,78816,26.0
201901,광주광역시,1,0,128,58579,33.0
201902,광주광역시,1,0,161,46500,34.0
201903,광주광역시,1,0,238,79848,39.0
201904,광주광역시,1,0,171,79250,20.0
201905,광주광역시,1,0,144,55498,22.0
201906,광주광역시,1,0,142,38598,25.0
201907,광주광역시,1,0,163,41215,17.0
201908,광주광역시,1,0,160,43402,17.0
201909,광주광역시,1,0,228,78908,15.0
201910,광주광역시,1,0,207,78198,18.0
201911,광주광역시,1,0,158,69561,20.0
201912,광주광역시,1,0,116,74694,22.0
202001,광주광역시,1,0,115,69446,27.0
202002,광주광역시,1,0,78,38754,21.0
202003,광주광역시,1,0,72,29328,18.0
202004,광주광역시,1,0,233,30511,17.0
202005,광주광역시,1,0,332,41725,18.0
202006,광주광역시,1,0,164,31812,18.0
202007,광주광역시,1,0,64,23830,9.0
202008,광주광역시,1,0,159,26315,14.0
202009,광주광역시,1,0,155,47745,13.0
202010,광주광역시,1,0,381,58225,17.0
202011,광주광역시,1,0,239,46684,20.0
202012,광주광역시,1,0,114,27508,24.0
202101,광주광역시,1,0,93,21520,22.0
202102,광주광역시,1,0,155,24056,25.0
202103,광주광역시,1,0,455,48644,27.0
202104,광주광역시,1,0,215,44701,18.0
202105,광주광역시,1,0,134,29940,20.0
202106,광주광역시,1,0,148,28855,18.0
202107,광주광역시,1,0,138,27497,10.0
202108,광주광역시,1,0,145,26501,10.0
202109,광주광역시,1,0,355,56470,8.0
202110,광주광역시,1,0,211,50338,15.0
202111,광주광역시,1,0,207,60333,21.0
202112,광주광역시,1,0,195,37873,23.0
202201,광주광역시,1,0,237,38841,23.0
202202,광주광역시,1,0,69,39942,24.0
202203,광주광역시,1,0,241,71255,21.0
202204,광주광역시,1,0,394,57653,17.0
202205,광주광역시,1,0,257,39149,16.0
202206,광주광역시,1,0,217,34694,12.0
202207,광주광역시,1,0,146,39063,12.0
202208,광주광역시,1,0,120,48103,9.0
202209,광주광역시,1,0,228,59602,12.0
202210,광주광역시,1,0,208,61498,14.0
202211,광주광역시,1,0,162,57238,21.0
202212,광주광역시,1,0,141,59103,20.0
201501,대전광역시,1,0,480,63564,34.0
201502,대전광역시,1,0,605,70047,36.0
201503,대전광역시,1,0,739,89397,37.0
201504,대전광역시,1,0,546,74708,23.0
201505,대전광역시,1,0,519,56178,29.0
201506,대전광역시,1,0,281,33175,27.0
201507,대전광역시,1,0,574,37041,19.0
201508,대전광역시,1,0,720,50971,20.0
201509,대전광역시,1,0,843,96797,18.0
201510,대전광역시,1,0,571,74693,33.0
201511,대전광역시,1,0,473,71442,30.0
201512,대전광역시,1,0,601,85437,34.0
201601,대전광역시,1,0,445,75159,31.0
201602,대전광역시,1,0,639,75763,26.0
201603,대전광역시,1,0,749,78867,30.0
201604,대전광역시,1,0,480,69255,25.0
201605,대전광역시,1,0,443,55724,25.0
201606,대전광역시,1,0,430,42065,22.0
201607,대전광역시,1,0,436,43855,13.0
201608,대전광역시,1,0,502,51572,15.0
201609,대전광역시,1,0,656,83316,17.0
201610,대전광역시,1,0,644,80448,16.0
201611,대전광역시,1,0,555,82200,25.0
