STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM
200712,27,1,0,79,88012
200712,28,1,0,121,109243
200712,29,1,0,137,49585
200712,30,1,0,320,50734
200712,31,1,0,347,39857
200712,36,1,0,192,3520
200712,41,1,0,554,439327
200712,42,1,0,211,49436
200712,43,1,0,170,50492
200712,44,1,0,474,57369
200712,45,1,0,414,56507
200712,46,1,0,487,65968
200712,47,1,0,461,94575
200712,48,1,0,484,118767
200712,50,1,0,840,21396
200801,11,1,0,143,291203
200801,26,1,0,36,113980
200801,27,1,0,74,89338
200801,28,1,0,106,87920
200801,29,1,0,151,43219
200801,30,1,0,349,49925
200801,31,1,0,333,38371
200801,36,1,0,225,3331
200801,41,1,0,525,362011
200801,42,1,0,224,46611
200801,43,1,0,160,46686
200801,44,1,0,479,55229
200801,45,1,0,479,55155
200801,46,1,0,494,65790
200801,47,1,0,425,93102
200801,48,1,0,469,110252
200801,50,1,0,863,21240
200802,11,1,0,181,302131
200802,26,1,0,35,126457
200802,27,1,0,85,84886
200802,28,1,0,137,91321
200802,29,1,0,193,55894
200802,30,1,0,413,57813
200802,31,1,0,346,43198
200802,36,1,0,208,4098
200802,41,1,0,747,389754
200802,42,1,0,213,46111
200802,43,1,0,211,50226
200802,44,1,0,579,61916
200802,45,1,0,567,63347
200802,46,1,0,681,80533
200802,47,1,0,573,89215
200802,48,1,0,628,134950
200802,50,1,0,1094,28211
200803,11,1,0,196,300948
200803,26,1,0,50,121550
200803,27,1,0,115,86510
200803,28,1,0,203,91701
200803,29,1,0,162,50937
200803,30,1,0,430,54662
200803,31,1,0,435,42008
200803,36,1,0,214,3293
200803,41,1,0,958,384972
200803,42,1,0,317,47374
200803,43,1,0,247,48284
200803,44,1,0,652,57697
200803,45,1,0,585,55150
200803,46,1,0,640,72254
200803,47,1,0,645,86354
200803,48,1,0,566,118643
200803,50,1,0,1160,29319
200804,11,1,0,185,316287
200804,26,1,0,53,106455
200804,27,1,0,105,85631
200804,28,1,0,146,88986
200804,29,1,0,162,47831
200804,30,1,0,410,50110
200804,31,1,0,376,36413
200804,36,1,0,197,2940
200804,41,1,0,781,383906
200804,42,1,0,310,42439
200804,43,1,0,221,45251
200804,44,1,0,591,51484
200804,45,1,0,490,50575
200804,46,1,0,471,57958
200804,47,1,0,615,83696
200804,48,1,0,545,103751
200804,50,1,0,1004,21426
200805,11,1,0,185,254814
200805,26,1,0,33,86526
200805,27,1,0,94,68287
200805,28,1,0,136,76265
200805,29,1,0,143,36712
200805,30,1,0,402,41664
200805,31,1,0,385,30175
200805,36,1,0,216,2548
200805,41,1,0,639,319340
200805,42,1,0,287,38808
200805,43,1,0,206,37695
200805,44,1,0,515,42865
200805,45,1,0,510,41733
200805,46,1,0,537,50451
200805,47,1,0,557,68430
200805,48,1,0,542,83325
200805,50,1,0,1069,20074
200806,11,1,0,131,197772
200806,26,1,0,43,68260
200806,27,1,0,71,49139
200806,28,1,0,110,60252
200806,29,1,0,103,28545
200806,30,1,0,330,31192
200806,31,1,0,300,24967
200806,36,1,0,196,2068
200806,41,1,0,583,252810
200806,42,1,0,218,27793
200806,43,1,0,180,27308
200806,44,1,0,448,34571
200806,45,1,0,393,33223
200806,46,1,0,506,37970
200806,47,1,0,415,53545
200806,48,1,0,431,67138
200806,50,1,0,757,14634
200807,11,1,0,78,160465
200807,26,1,0,27,50369
200807,27,1,0,44,36442
200807,28,1,0,73,48845
200807,29,1,0,76,23640
200807,30,1,0,270,24993
200807,31,1,0,211,19077
200807,36,1,0,146,1536
200807,41,1,0,420,201259
200807,42,1,0,180,20837
200807,43,1,0,146,21990
200807,44,1,0,353,28164
200807,45,1,0,252,26541
200807,46,1,0,352,29366
200807,47,1,0,303,39867
200807,48,1,0,330,51449
200807,50,1,0,543,10826
200808,11,1,0,116,200554
200808,26,1,0,22,63874
200808,27,1,0,60,49639
200808,28,1,0,96,61000
200808,29,1,0,87,31065
200808,30,1,0,333,33827
200808,31,1,0,254,22498
200808,36,1,0,166,2100
200808,41,1,0,451,270671
200808,42,1,0,204,29056
200808,43,1,0,143,30060
200808,44,1,0,393,37218
200808,45,1,0,379,35085
200808,46,1,0,414,36984
200808,47,1,0,366,49580
200808,48,1,0,403,65960
200808,50,1,0,690,12317
200809,11,1,0,192,338129
200809,26,1,0,51,103568
200809,27,1,0,95,92708
200809,28,1,0,152,104530
200809,29,1,0,150,55539
200809,30,1,0,495,58366
200809,31,1,0,375,38968
200809,36,1,0,322,3638
200809,41,1,0,811,468239
200809,42,1,0,291,46278
200809,43,1,0,226,52212
200809,44,1,0,628,65439
200809,45,1,0,590,60703
200809,46,1,0,606,64110
200809,47,1,0,701,87931
200809,48,1,0,572,119260
200809,50,1,0,984,21058
200810,11,1,0,189,322088
200810,26,1,0,47,113517
200810,27,1,0,126,87786
200810,28,1,0,193,97838
200810,29,1,0,205,56299
200810,30,1,0,561,59919
200810,31,1,0,423,39728
200810,36,1,0,256,3609
200810,41,1,0,780,420693
200810,42,1,0,284,42947
200810,43,1,0,250,48982
200810,44,1,0,702,58737
200810,45,1,0,641,62530
200810,46,1,0,701,66375
200810,47,1,0,785,87942
200810,48,1,0,562,115269
200810,50,1,0,1177,24513
200811,11,1,0,189,317626
200811,26,1,0,47,111370
200811,27,1,0,95,84337
200811,28,1,0,168,95414
200811,29,1,0,156,46601
200811,30,1,0,409,51562
200811,31,1,0,397,38616
200811,36,1,0,238,3411
200811,41,1,0,608,406236
200811,42,1,0,242,42109
200811,43,1,0,191,42175
200811,44,1,0,489,53179
200811,45,1,0,453,54885
200811,46,1,0,624,61043
200811,47,1,0,618,83287
200811,48,1,0,477,109025
200811,50,1,0,1125,23239
200812,11,1,0,199,413710
200812,26,1,0,41,155195
200812,27,1,0,109,121612
200812,28,1,0,154,124532
200812,29,1,0,156,72535
200812,30,1,0,435,66943
200812,31,1,0,434,50627
200812,36,1,0,190,4449
200812,41,1,0,667,538885
200812,42,1,0,275,56995
200812,43,1,0,224,60103
200812,44,1,0,644,70406
200812,45,1,0,641,76576
200812,46,1,0,587,89909
200812,47,1,0,590,113911
200812,48,1,0,574,155928
200812,50,1,0,972,25310
200901,11,1,0,143,294476
200901,26,1,0,44,121279
200901,27,1,0,73,83513
200901,28,1,0,110,90186
200901,29,1,0,113,43928
200901,30,1,0,443,57626
200901,31,1,0,352,42332
200901,36,1,0,145,3339
200901,41,1,0,469,366307
200901,42,1,0,268,47291
200901,43,1,0,206,44311
200901,44,1,0,465,60853
200901,45,1,0,480,61163
200901,46,1,0,527,70353
200901,47,1,0,496,94007
200901,48,1,0,410,118765
200901,50,1,0,974,27603
200902,11,1,0,174,221748
200902,26,1,0,42,74133
200902,27,1,0,97,57051
200902,28,1,0,131,64238
200902,29,1,0,142,37309
200902,30,1,0,433,37305
200902,31,1,0,342,25087
200902,36,1,0,156,2270
200902,41,1,0,543,283145
200902,42,1,0,252,31774
200902,43,1,0,174,32848
200902,44,1,0,514,39752
200902,45,1,0,426,39659
200902,46,1,0,525,47059
200902,47,1,0,493,60413
200902,48,1,0,510,81782
200902,50,1,0,888,22172
200903,11,1,0,268,326188
200903,26,1,0,63,125261
200903,27,1,0,118,84660
200903,28,1,0,193,106262
200903,29,1,0,211,54475
200903,30,1,0,584,53751
200903,31,1,0,442,41490
200903,36,1,0,254,3207
200903,41,1,0,841,428487
200903,42,1,0,326,47781
200903,43,1,0,258,44586
200903,44,1,0,734,60633
200903,45,1,0,730,60158
200903,46,1,0,751,71145
200903,47,1,0,718,84168
200903,48,1,0,586,126560
200903,50,1,0,1168,27298
200904,11,1,0,198,387361
200904,26,1,0,39,143391
200904,27,1,0,121,104776
200904,28,1,0,164,112415
200904,29,1,0,167,56045
200904,30,1,0,568,68289
200904,31,1,0,391,48386
200904,36,1,0,190,3321
200904,41,1,0,659,485961
200904,42,1,0,368,52696
200904,43,1,0,233,51515
200904,44,1,0,575,65972
200904,45,1,0,548,60322
200904,46,1,0,624,74846
200904,47,1,0,659,102973
200904,48,1,0,520,139691
200904,50,1,0,982,24173
200905,11,1,0,155,288147
200905,26,1,0,45,100032
200905,27,1,0,104,74454
200905,28,1,0,141,88138
200905,29,1,0,111,42161
200905,30,1,0,473,48959
200905,31,1,0,322,33262
200905,36,1,0,175,2730
200905,41,1,0,573,366731
200905,42,1,0,247,40087
200905,43,1,0,189,40575
200905,44,1,0,523,49395
200905,45,1,0,504,46843
