SIDO,STD_YYYYMM,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_PM2.5,PM2_BAD,PM2_35BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_일산화,일산화_9BAD,일산화_BAD,차량수
제주특별자치도,201507,33.0,N,N,22.0,Y,N,0.004,N,N,0.007,N,N,N,0.3,N,N,417703.0
서울특별시,201508,34.0,N,N,22.0,Y,N,0.005,N,Y,0.023,N,N,Y,0.4,N,N,3037031.0
부산광역시,201508,34.938,N,N,23.0,Y,N,0.006,N,Y,0.018,N,N,N,0.3,N,N,1241724.0
대구광역시,201508,37.0,N,N,22.9971,N,N,0.003,N,N,0.016,N,N,N,0.3,N,N,1094000.0
인천광역시,201508,34.938,N,N,27.0,Y,N,0.006,N,Y,0.017,N,N,N,0.5,N,Y,1317376.0
광주광역시,201508,34.938,N,N,22.0,Y,N,0.003,N,N,0.012,N,N,N,0.4,N,N,604551.0
대전광역시,201508,34.938,N,N,20.0,N,N,0.002,N,N,0.012,N,N,N,0.4,N,N,627913.0
울산광역시,201508,34.938,N,N,24.0,Y,N,0.009,N,Y,0.018,N,N,N,0.5,N,Y,518019.0
세종특별자치시,201508,34.938,N,N,22.9971,N,N,0.0043,N,N,0.0143,N,N,N,0.3935,N,N,85006.0
경기도,201508,38.27,N,N,21.71,Y,N,0.004,N,N,0.018,N,N,N,0.407,N,N,4830126.0
경상남도,201508,37.86,N,N,24.25,Y,N,0.005,N,Y,0.013,N,N,N,0.414,N,N,1544723.0
충청북도,201508,30.75,N,N,21.0,N,N,0.002,N,N,0.013,N,N,N,0.325,N,N,720134.0
충청남도,201508,37.0,N,N,26.0,Y,N,0.003,N,N,0.014,N,N,N,0.475,N,Y,954341.0
전라북도,201508,34.0,N,N,26.0,Y,N,0.003,N,N,0.009,N,N,N,0.329,N,N,828406.0
전라남도,201508,37.5,N,N,23.0,Y,N,0.005,N,Y,0.011,N,N,N,0.42,N,N,878569.0
경상북도,201508,29.0,N,N,21.0,N,N,0.004,N,N,0.012,N,N,N,0.333,N,N,1289294.0
제주특별자치도,201508,34.0,N,N,21.0,N,N,0.004,N,N,0.009,N,N,N,0.4,N,N,421087.0
서울특별시,201509,28.0,N,N,16.0,N,N,0.004,N,N,0.027,N,N,Y,0.4,N,N,3043191.0
부산광역시,201509,28.5045,N,N,16.0,N,N,0.005,N,Y,0.015,N,N,N,0.3,N,N,1245535.0
대구광역시,201509,30.0,N,N,15.0,N,N,0.002,N,N,0.017,N,N,N,0.3,N,N,1097823.0
인천광역시,201509,28.5045,N,N,21.0,N,N,0.005,N,Y,0.022,N,N,Y,0.5,N,Y,1327383.0
광주광역시,201509,28.5045,N,N,17.7229,N,N,0.0037,N,N,0.0166,N,N,N,0.3796,N,N,606621.0
대전광역시,201509,27.0,N,N,18.0,N,N,0.002,N,N,0.017,N,N,N,0.4,N,N,629445.0
울산광역시,201509,28.5045,N,N,13.0,N,N,0.006,N,Y,0.015,N,N,N,0.4,N,N,519681.0
세종특별자치시,201509,28.5045,N,N,17.7229,N,N,0.0037,N,N,0.0166,N,N,N,0.3796,N,N,87048.0
경기도,201509,32.55,N,N,16.57,N,N,0.004,N,N,0.021,N,N,Y,0.416,N,N,4852002.0
경상남도,201509,29.0,N,N,17.38,N,N,0.004,N,N,0.013,N,N,N,0.4,N,N,1549727.0
충청북도,201509,23.0,N,N,17.0,N,N,0.002,N,N,0.015,N,N,N,0.3,N,N,722885.0
충청남도,201509,28.0,N,N,22.0,Y,N,0.003,N,N,0.023,N,N,Y,0.475,N,Y,958507.0
전라북도,201509,30.0,N,N,23.0,Y,N,0.003,N,N,0.011,N,N,N,0.386,N,N,831345.0
전라남도,201509,25.0,N,N,18.17,N,N,0.005,N,Y,0.013,N,N,N,0.42,N,N,883753.0
경상북도,201509,27.5,N,N,21.0,N,N,0.004,N,N,0.013,N,N,N,0.317,N,N,1293925.0
제주특별자치도,201509,33.5,N,N,14.0,N,N,0.003,N,N,0.01,N,N,N,0.3,N,N,425425.0
서울특별시,201510,44.0,Y,N,24.0,Y,N,0.005,N,Y,0.035,N,Y,Y,0.5,N,Y,3046176.0
부산광역시,201510,47.1883,N,N,25.0,Y,N,0.005,N,Y,0.021,N,N,Y,0.4,N,N,1248943.0
대구광역시,201510,43.0,Y,N,25.0,Y,N,0.003,N,N,0.022,N,N,Y,0.4,N,N,1100261.0
인천광역시,201510,53.0,Y,N,31.0,Y,N,0.006,N,Y,0.026,N,N,Y,0.6,N,Y,1336351.0
광주광역시,201510,47.1883,N,N,30.0,Y,N,0.002,N,N,0.021,N,N,Y,0.4,N,N,607502.0
대전광역시,201510,50.0,Y,N,33.0,Y,N,0.002,N,N,0.024,N,N,Y,0.5,N,Y,630195.0
울산광역시,201510,47.1883,N,N,22.0,Y,N,0.006,N,Y,0.022,N,N,Y,0.5,N,Y,522108.0
세종특별자치시,201510,47.1883,N,N,28.3179,N,N,0.0039,N,N,0.0213,N,N,N,0.4692,N,N,89245.0
경기도,201510,52.21,Y,N,25.33,Y,N,0.004,N,N,0.029,N,N,Y,0.53,N,Y,4871519.0
경상남도,201510,42.38,Y,N,23.29,Y,N,0.004,N,N,0.019,N,N,Y,0.457,N,N,1554251.0
충청북도,201510,47.5,Y,N,37.0,Y,Y,0.003,N,N,0.02,N,N,Y,0.475,N,Y,725266.0
충청남도,201510,43.75,Y,N,28.3179,N,N,0.003,N,N,0.019,N,N,Y,0.575,N,Y,962275.0
전라북도,201510,59.5,Y,N,41.5,Y,Y,0.003,N,N,0.015,N,N,N,0.471,N,Y,833861.0
전라남도,201510,44.25,Y,N,28.33,Y,N,0.005,N,Y,0.016,N,N,N,0.48,N,Y,888189.0
경상북도,201510,35.67,N,N,32.0,Y,N,0.004,N,N,0.019,N,N,Y,0.45,N,N,1298451.0
제주특별자치도,201510,51.0,Y,N,19.0,N,N,0.004,N,N,0.011,N,N,N,0.3,N,N,428967.0
서울특별시,201511,33.0,N,N,21.0,N,N,0.005,N,Y,0.034,N,Y,Y,0.6,N,Y,3052968.0
부산광역시,201511,33.0,N,N,23.0,Y,N,0.005,N,Y,0.023,N,N,Y,0.4,N,N,1253114.0
대구광역시,201511,34.0,N,N,22.0,Y,N,0.003,N,N,0.022,N,N,Y,0.4,N,N,1103391.0
인천광역시,201511,41.0,N,N,31.0,Y,N,0.005,N,Y,0.028,N,N,Y,0.7,N,Y,1347339.0
광주광역시,201511,35.0,N,N,25.0,Y,N,0.002,N,N,0.025,N,N,Y,0.5,N,Y,610423.0
대전광역시,201511,37.0,N,N,30.0,Y,N,0.003,N,N,0.022,N,N,Y,0.5,N,Y,631854.0
울산광역시,201511,31.0,N,N,18.0,N,N,0.005,N,Y,0.022,N,N,Y,0.5,N,Y,524123.0
세종특별자치시,201511,35.8871,N,N,25.8893,N,N,0.0039,N,N,0.0223,N,N,N,0.5349,N,N,91027.0
경기도,201511,40.04,N,N,25.4,Y,N,0.004,N,N,0.027,N,N,Y,0.553,N,Y,4895325.0
경상남도,201511,34.2,N,N,19.88,N,N,0.004,N,N,0.018,N,N,N,0.471,N,Y,1559565.0
충청북도,201511,35.75,N,N,33.0,Y,N,0.003,N,N,0.022,N,N,Y,0.575,N,Y,727911.0
충청남도,201511,40.0,N,N,25.8893,N,N,0.003,N,N,0.024,N,N,Y,0.825,N,Y,966367.0
전라북도,201511,43.8,Y,N,38.0,Y,Y,0.004,N,N,0.018,N,N,N,0.529,N,Y,837133.0
전라남도,201511,32.2,N,N,23.5,Y,N,0.005,N,Y,0.017,N,N,N,0.52,N,Y,892930.0
경상북도,201511,32.43,N,N,32.0,Y,N,0.005,N,Y,0.019,N,N,Y,0.55,N,Y,1303544.0
제주특별자치도,201511,35.8871,N,N,20.67,N,N,0.002,N,N,0.014,N,N,N,0.4,N,N,432074.0
서울특별시,201512,48.0,Y,N,28.0,Y,N,0.006,N,Y,0.039,N,Y,Y,0.7,N,Y,3056588.0
부산광역시,201512,41.0,N,N,29.0,Y,N,0.005,N,Y,0.025,N,N,Y,0.5,N,Y,1255722.0
대구광역시,201512,51.0,Y,N,31.0,Y,N,0.004,N,N,0.026,N,N,Y,0.6,N,Y,1106002.0
인천광역시,201512,54.0,Y,N,38.0,Y,Y,0.007,N,Y,0.033,N,Y,Y,0.8,N,Y,1355207.0
광주광역시,201512,42.0,Y,N,27.0,Y,N,0.003,N,N,0.026,N,N,Y,0.6,N,Y,611280.0
대전광역시,201512,49.0,Y,N,34.0,Y,N,0.005,N,Y,0.024,N,N,Y,0.6,N,Y,632954.0
울산광역시,201512,39.0,N,N,23.0,Y,N,0.005,N,Y,0.025,N,N,Y,0.6,N,Y,525092.0
세종특별자치시,201512,46.9273,N,N,31.3129,N,N,0.0047,N,N,0.0251,N,N,N,0.6522,N,N,93140.0
경기도,201512,60.83,Y,N,35.6,Y,Y,0.005,N,Y,0.033,N,Y,Y,0.73,N,Y,4917091.0
경상남도,201512,43.09,Y,N,24.75,Y,N,0.004,N,N,0.02,N,N,Y,0.557,N,Y,1564192.0
충청북도,201512,51.5,Y,N,33.2,Y,N,0.005,N,Y,0.025,N,N,Y,0.825,N,Y,730069.0
충청남도,201512,46.25,Y,N,31.3129,N,N,0.004,N,N,0.024,N,N,Y,0.95,N,Y,969162.0
전라북도,201512,52.57,Y,N,41.0,Y,Y,0.004,N,N,0.021,N,N,Y,0.571,N,Y,839181.0
전라남도,201512,38.0,N,N,26.5,Y,N,0.005,N,Y,0.019,N,N,Y,0.52,N,Y,897655.0
경상북도,201512,48.17,Y,N,42.0,Y,Y,0.007,N,Y,0.023,N,N,Y,0.78,N,Y,1307495.0
제주특별자치도,201512,39.5,N,N,25.33,Y,N,0.002,N,N,0.014,N,N,N,0.45,N,N,435015.0
서울특별시,201601,50.0,Y,N,27.0,Y,N,0.006,N,Y,0.035,N,Y,Y,0.6,N,Y,3063247.0
부산광역시,201601,45.0,Y,N,33.0,Y,N,0.005,N,Y,0.024,N,N,Y,0.5,N,Y,1259512.0
대구광역시,201601,49.0,Y,N,30.0,Y,N,0.004,N,N,0.027,N,N,Y,0.6,N,Y,1108455.0
인천광역시,201601,49.0,Y,N,29.0,Y,N,0.007,N,Y,0.026,N,N,Y,0.7,N,Y,1364501.0
광주광역시,201601,39.0,N,N,26.0,Y,N,0.003,N,N,0.024,N,N,Y,0.6,N,Y,613552.0
대전광역시,201601,48.0,Y,N,31.0,Y,N,0.005,N,Y,0.021,N,N,Y,0.6,N,Y,634465.0
울산광역시,201601,43.0,Y,N,24.0,Y,N,0.005,N,Y,0.026,N,N,Y,0.6,N,Y,527449.0
세종특별자치시,201601,52.0,Y,N,30.6407,N,N,0.005,N,Y,0.028,N,N,Y,0.8,N,Y,95440.0
경기도,201601,59.26,Y,N,32.8,Y,N,0.006,N,Y,0.03,N,N,Y,0.677,N,Y,4943882.0
경상남도,201601,44.09,Y,N,26.25,Y,N,0.005,N,Y,0.021,N,N,Y,0.529,N,Y,1571964.0
충청북도,201601,51.25,Y,N,33.2,Y,N,0.006,N,Y,0.024,N,N,Y,0.825,N,Y,733365.0
충청남도,201601,46.25,Y,N,32.0,Y,N,0.005,N,Y,0.021,N,N,Y,0.625,N,Y,973911.0
전라북도,201601,52.62,Y,N,40.2,Y,Y,0.005,N,Y,0.02,N,N,Y,0.6,N,Y,842587.0
전라남도,201601,38.2,N,N,26.83,Y,N,0.005,N,Y,0.016,N,N,N,0.54,N,Y,903736.0
경상북도,201601,46.43,Y,N,41.0,Y,Y,0.007,N,Y,0.022,N,N,Y,0.683,N,Y,1313678.0
제주특별자치도,201601,42.0,Y,N,27.33,Y,N,0.004,N,N,0.014,N,N,N,0.4,N,N,438283.0
서울특별시,201602,45.0,Y,N,23.0,Y,N,0.006,N,Y,0.034,N,Y,Y,0.6,N,Y,3063683.0
부산광역시,201602,46.0,Y,N,29.0,Y,N,0.006,N,Y,0.023,N,N,Y,0.4,N,N,1262050.0
대구광역시,201602,45.0,Y,N,25.0,Y,N,0.004,N,N,0.023,N,N,Y,0.5,N,Y,1109004.0
인천광역시,201602,46.0,Y,N,25.0,Y,N,0.007,N,Y,0.026,N,N,Y,0.6,N,Y,1366205.0
광주광역시,201602,44.0,Y,N,24.0,Y,N,0.004,N,N,0.021,N,N,Y,0.6,N,Y,614605.0
대전광역시,201602,46.0,Y,N,26.0,Y,N,0.004,N,N,0.019,N,N,Y,0.5,N,Y,634926.0
울산광역시,201602,42.0,Y,N,21.0,N,N,0.006,N,Y,0.023,N,N,Y,0.5,N,Y,528605.0
세종특별자치시,201602,47.0,Y,N,26.6107,N,N,0.004,N,N,0.021,N,N,Y,0.9,N,Y,97390.0
경기도,201602,52.71,Y,N,27.91,Y,N,0.005,N,Y,0.027,N,N,Y,0.606,N,Y,4956698.0
경상남도,201602,45.91,Y,N,24.12,Y,N,0.005,N,Y,0.019,N,N,Y,0.529,N,Y,1581662.0
충청북도,201602,48.0,Y,N,27.4,Y,N,0.006,N,Y,0.022,N,N,Y,0.75,N,Y,735370.0
충청남도,201602,43.25,Y,N,28.0,Y,N,0.003,N,N,0.017,N,N,N,0.475,N,Y,977741.0
전라북도,201602,49.5,Y,N,31.4,Y,N,0.005,N,Y,0.017,N,N,N,0.5,N,Y,844611.0
전라남도,201602,41.0,N,N,26.0,Y,N,0.005,N,Y,0.015,N,N,N,0.48,N,Y,907373.0
경상북도,201602,43.29,Y,N,36.0,Y,Y,0.006,N,Y,0.02,N,N,Y,0.633,N,Y,1317593.0
