날짜,이름,측정망 정보,아황산가스 농도,일산화탄소 농도,오존 농도,이산화질소 농도,미세먼지(PM10) 농도,초미세먼지(PM2.5) 농도
2023-12-11 09:00,고성읍,도시대기,0.002,0.7,0.023,0.021,54,30
2023-12-11 09:00,남해읍,도시대기,0.002,0.6,0.026,0.009,48,31
2023-12-11 09:00,금성면,도시대기,0.003,0.4,0.041,0.014,33,19
2023-12-11 09:00,산청읍,도시대기,0.004,0.6,0.003,0.020,36,25
2023-12-11 09:00,함양읍,도시대기,0.002,0.5,0.019,0.014,59,31
2023-12-11 09:00,거창읍,도시대기,0.003,0.7,0.002,0.018,62,53
2023-12-11 09:00,합천읍,도시대기,0.004,0.6,0.004,0.021,57,38
2023-12-11 09:00,애월읍,도시대기,0.002,0.1,0.020,0.014,11,4
2023-12-11 09:00,강정동,도시대기,0.002,0.2,0.047,0.005,5,-
2023-12-11 09:00,신사우동,도시대기,0.002,0.6,0.028,0.004,2,1
2023-12-11 09:00,문막읍,도시대기,0.003,0.4,0.027,0.003,4,1
2023-12-11 09:00,옥천동,도시대기,0.002,0.2,0.033,0.004,7,-
2023-12-11 09:00,천곡동,도시대기,0.001,0.2,0.039,0.001,13,2
2023-12-11 09:00,황지동,도시대기,0.002,0.3,0.033,0.002,5,3
2023-12-11 09:00,금호동,도시대기,0.002,0.2,0.028,0.002,14,7
2023-12-11 09:00,남양동1,도시대기,0.001,0.2,0.030,0.001,19,9
2023-12-11 09:00,홍천읍,도시대기,0.003,0.2,0.023,0.005,1,-
2023-12-11 09:00,횡성읍,도시대기,0.002,0.4,0.031,0.003,3,1
,,,,,,,,
2023-12-11 09:00,평창읍,도시대기,0.002,0.1,0.030,0.004,11,4
2023-12-11 09:00,정선읍,도시대기,0.001,0.3,0.035,0.003,9,7
2023-12-11 09:00,갈말읍,도시대기,0.003,0.2,0.031,0.002,2,1
2023-12-11 09:00,화천읍,도시대기,0.003,0.4,0.019,0.004,3,3
2023-12-11 09:00,양구읍,도시대기,0.001,0.4,0.027,0.002,3,-
,,,,,,,,
2023-12-11 09:00,상리,도시대기,0.002,0.3,0.035,0.002,8,3
2023-12-11 09:00,양양읍,도시대기,0.002,0.4,0.039,0.003,3,-
