지역명,측정소명,측정소 주소,운영기관,설치년도
강원,평창읍,강원특별자치도 평창군 평창읍 종부로 61(종부리 504) 평창군보건의료원 2층 옥상,강원특별자치도보건환경연구원,2017
강원,홍천읍,강원특별자치도 홍천군 홍천읍 연봉동로 27 홍천기상관측소,강원특별자치도보건환경연구원,2018
강원,화천읍,강원특별자치도 화천군 화천읍 화천새싹길 45 건설방재과 옥상,강원특별자치도보건환경연구원,2018
강원,황지동,강원특별자치도 태백시 태붐로 21 태백시청 부지 내 지상 (황지동),강원특별자치도보건환경연구원,2018
강원,횡성읍,강원특별자치도 횡성군 횡성읍 중앙로 30 친환경급식지원센터,강원특별자치도보건환경연구원,2018
충남,고덕면(충남),충청남도 예산군 고덕면 예당산단4길 147 예당일반산업단지 폐수처리장 내,충청남도보건환경연구원,2023
충남,공주,충남 공주시 봉황로 1 (공주시의회 옥상),충청남도보건환경연구원,2017
충남,금산읍,충남 금산군 금산읍 비호로 69 금산읍사무소 별관 1층 옥상,충청남도보건환경연구원,2017
충남,내포,충청남도 홍성군 홍북읍 홍예공원로 8 충남보건환경연구원 부지내 1층,충청남도보건환경연구원,2019
충남,논산,충남 논산시 시민로 389 (취암/부창동 행정복지센터 2층 옥상),충청남도보건환경연구원,2017
충남,당진시청사,충남 당진시 시청1로 1 당진시청사,충청남도보건환경연구원,2017
충남,대산리,충청남도 서산시 대산읍 충의로 1942 대산종합시장 옥상,충청남도보건환경연구원,2018
충남,대천2동,충남 보령시 중앙로 142-16 (대천2동 주민센터 옥상),충청남도보건환경연구원,2017
충남,도고면,충남 아산시 도고면 기곡리 296-4 기곡1리 마을회관 지상,충청남도보건환경연구원,2018
충남,독곶리,충남 서산시 대산읍 평신1로(독곶리) 한국수자원공사 대산산업용수센터 저수동 옥상,충청남도보건환경연구원,
충남,동문동,충청남도 서산시 중앙로 38-1 서산초등학교 (동문동),충청남도보건환경연구원,1996
충남,둔포면,충청남도 아산시 둔포면 중앙공원로 43 둔포면 측정소,충청남도보건환경연구원,2018
충남,모종동,충남 아산시 모종동 573-2 보건소옥상,충청남도보건환경연구원,2007
충남,배방읍,충남 아산시 배방읍 배방로 38 배방읍사무소 옥상,충청남도보건환경연구원,2017
충남,백석동,충청남도 천안시 서북구 음봉로 861-50 한들문화센터 (백석동),충청남도보건환경연구원,2023
충남,부여읍,충남 부여군 부여읍 사비로 36 (부여읍행정복지센터 옥상),충청남도보건환경연구원,2017
충남,삽교읍,충청남도 예산군 삽교읍 두리3길 33 삽교읍 행정복지센터 옥상,충청남도보건환경연구원,2021
충남,서면,충남 서천군 서면 서인로 761 서면보건지소옥상,충청남도보건환경연구원,2017
충남,서천읍,충남 서천군 서천읍 서천로14번길 20 서천읍 문예의전당 주차장,충청남도보건환경연구원,2017
충남,성거읍,충청남도 천안시 서북구 성거읍 천흥8길 7 천흥산업단지 내 족구장 지상,충청남도보건환경연구원,2017
충남,성동면,충청남도 논산시 성동면 산업단지로5길 73-28 논산지방산업단지 기숙사 옥상,충청남도보건환경연구원,2020
충남,성연면,충남 서산시 성연면 마루들길 15 보건지소 옥상,충청남도보건환경연구원,2019
