Unnamed: 0,지역명,측정소명,주소,위도,경도,광역시도,시군구,구읍,중복확인
299,울산,농소동,울산광역시 북구 호수중앙로 14 농소운동장 주차장 (창평동),35.6217776488612,129.358774488939,울산광역시,북구,호수중앙로,울산 북구
300,울산,대송동,울산 동구 대송5길 10 대송동주민센터 옥상,35.5031635726982,129.418343654541,울산광역시,동구,대송5길,울산 동구
301,울산,덕신리,울산광역시 울주군 온산읍 덕신로 229 고려아연(주) 사택 주차장,35.4338839911089,129.306715755053,울산광역시,울주군,온산읍,울산 울주
302,울산,무거동,울산 남구 대학로 147번길 38 무거동주민센터,35.550971215137,129.26072278192,울산광역시,남구,대학로,울산 남구
308,울산,성남동,울산 중구 새즈믄해거리 28 농협 성남동 지점,35.5562908595343,129.320501695715,울산광역시,중구,새즈믄해거리,울산 중구
318,대구,군위읍,대구광역시 군위군 군위읍 군청로 158 군위종합테니스장 옥상,36.2377123994957,128.574021887123,대구광역시,군위군,군위읍,군위
319,대구,남산1동,대구광역시 중구 남산로2길 125 대구명덕초등학교 (남산동),35.8575407313541,128.589026723236,대구광역시,중구,남산로2길,대구 중구
320,대구,내당동,대구광역시 서구 서대구로3길 46 내당4동 행정복지센터 3층 옥상 (내당동),35.8590204613206,128.551843290608,대구광역시,서구,서대구로3길,대구 서구
321,대구,다사읍,대구광역시 달성군 다사읍 매곡로12길 37 다사읍주민자치센터,35.864806459845,128.457304973104,대구광역시,달성군,다사읍,대구 달성
322,대구,대명동,대구 남구 성당로30길55 성명초등학교별관3층옥상 성명초등학교 별관 3층 옥상,35.8451566195644,128.570821088834,대구광역시,남구,성당로30길55,대구 남구
323,대구,만촌동,대구 수성구 만촌2동 934 (동원초등학교)(국채보상로 1000) 동원초등학교,35.865321271763,128.639696032245,대구광역시,수성구,만촌2동,대구 수성
324,대구,본동,대구광역시 달서구 구마로26길 62 본동행정복지센터 (본동),35.8344407802131,128.541042383177,대구광역시,달서구,구마로26길,대구 달서
325,대구,산격동,대구광역시 북구 연암로 40 시청별관 105동 3층 옥상 (산격동),35.8920272135629,128.598409309488,대구광역시,북구,연암로,대구 북구
326,대구,서호동,대구 동구 서호동 25-1(안심로49길 70) 반야월초등학교 옥상,35.8689868390636,128.711254373865,대구광역시,동구,서호동,대구 동구
338,경북,3공단,경북 포항시 남구 대송면 철강산단로130번길 29 3공단 배수지,,,경상북도,포항시,남구,포항 남구
339,경북,4공단,경상북도 구미시 산동읍 첨단기업1로 17 구미전자정보기술원 혁신관 옥상,36.1426648577183,128.438954150553,경상북도,구미시,산동읍,구미
340,경북,가흥동,경북 영주시 가흥로 263 시립도서관 내 (가흥동),36.8208530770399,128.612910076358,경상북도,영주시,가흥로,영주
