STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수
201706,인천광역시,89939,10002,11857
201707,인천광역시,85052,10632,10999
201708,인천광역시,118521,10467,11877
201709,인천광역시,171235,9623,15701
201710,인천광역시,134024,7930,14823
201711,인천광역시,174229,8063,18860
201712,인천광역시,199300,7545,20015
201801,인천광역시,176522,8401,18907
201802,인천광역시,107903,7684,12512
201803,인천광역시,144845,8778,15919
201804,인천광역시,149266,9212,18163
201805,인천광역시,120806,9931,16520
201806,인천광역시,89246,9674,12023
201807,인천광역시,81362,11130,10376
201808,인천광역시,86978,9919,10378
201809,인천광역시,173064,8408,15087
201810,인천광역시,166677,8725,17386
201811,인천광역시,165787,7828,19512
201812,인천광역시,175485,7708,19839
201901,인천광역시,120509,8476,13862
201902,인천광역시,104738,7821,11452
