SIDO,STD_YYYYMM,AVG_구리,구리_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_니켈,니켈_BAD,AVG_망간,망간_BAD,AVG_비소,비소_BAD,AVG_철,철_BAD,AVG_카드뮴,카드뮴_BAD,AVG_크롬,크롬_BAD
충청남도,201703,0.0068,N,0.0161,N,N,0.003,N,0.0216,N,0.0018,N,0.434,N,0.0005,N,0.0027,N
전라북도,201703,0.0167,Y,0.0176,N,N,0.0014,N,0.0112,N,0.002,N,0.214,N,0.001,Y,0.003,N
전라남도,201703,0.0001,N,0.012,N,N,0.0002,N,0.0147,N,0.0013,N,0.2044,N,0.0007,N,0.0001,N
경상북도,201703,0.009,N,0.0157,N,N,0.0098,Y,0.0418,Y,0.0004,N,0.5738,N,0.0007,N,0.0134,Y
경상남도,201703,0.0111,N,0.0119,N,N,0.0024,N,0.0207,N,0.003,N,0.4561,N,0.0005,N,0.0028,N
서울특별시,201704,0.0301,Y,0.0215,N,N,0.0045,Y,0.0408,Y,0.0061,Y,1.0742,Y,0.0008,N,0.0035,N
부산광역시,201704,0.0123,N,0.0147,N,N,0.0055,Y,0.0396,Y,0.0068,Y,0.9145,Y,0.0006,N,0.0046,Y
대구광역시,201704,0.0146,N,0.0209,N,N,0.0023,N,0.0194,N,0.0066,Y,0.4773,N,0.0017,Y,0.0028,N
인천광역시,201704,0.0247,Y,0.026,N,Y,0.006,Y,0.0433,Y,0.0037,N,1.0336,Y,0.0009,Y,0.004,Y
광주광역시,201704,0.0086,N,0.019,N,N,0.0017,N,0.0164,N,0.001,N,0.3832,N,0.0004,N,0.0012,N
대전광역시,201704,0.0136,N,0.0216,N,N,0.003,N,0.0226,N,0.0021,N,0.5536,N,0.0008,N,0.0057,Y
울산광역시,201704,0.0144,N,0.0257,N,Y,0.004,Y,0.0314,Y,0.0042,Y,0.7686,Y,0.0013,Y,0.0023,N
세종특별자치시,201704,0.0228,N,0.0209,N,N,0.0044,N,0.0377,N,0.004,N,0.7947,N,0.0008,N,0.0038,N
경기도,201704,0.1303,Y,0.0272,N,Y,0.0082,Y,0.0448,Y,0.0046,Y,1.5074,Y,0.0009,Y,0.0061,Y
강원도,201704,0.0145,N,0.018,N,N,0.0027,N,0.0402,Y,0.0024,N,0.6987,Y,0.0007,N,0.0041,Y
충청북도,201704,0.0144,N,0.0199,N,N,0.0038,Y,0.033,Y,0.004,N,1.0032,Y,0.0007,N,0.0014,N
충청남도,201704,0.0055,N,0.0144,N,N,0.0075,Y,0.0371,Y,0.0015,N,0.915,Y,0.0003,N,0.0017,N
전라북도,201704,0.0228,N,0.0209,N,N,0.0044,N,0.0377,N,0.004,N,0.7947,N,0.0008,N,0.0038,N
전라남도,201704,0.0049,N,0.0205,N,N,0.0032,N,0.0384,Y,0.0102,Y,0.4552,N,0.0006,N,0.0013,N
경상북도,201704,0.0231,Y,0.03,N,Y,0.0057,Y,0.0828,Y,0.0004,N,0.666,Y,0.0008,N,0.0096,Y
경상남도,201704,0.0088,N,0.0134,N,N,0.0039,Y,0.0378,Y,0.003,N,0.6753,Y,0.0005,N,0.0048,Y
서울특별시,201705,0.0378,Y,0.0367,N,Y,0.0088,Y,0.064,Y,0.0077,Y,1.7115,Y,0.0012,Y,0.0054,Y
부산광역시,201705,0.0156,N,0.0137,N,N,0.01,Y,0.0521,Y,0.0071,Y,0.9458,Y,0.0005,N,0.0075,Y
대구광역시,201705,0.014,N,0.0311,N,Y,0.0021,N,0.0222,N,0.0021,N,0.5904,Y,0.0014,Y,0.0025,N
인천광역시,201705,0.0212,Y,0.0311,N,Y,0.0072,Y,0.0379,Y,0.0057,Y,0.9534,Y,0.001,Y,0.0033,N
광주광역시,201705,0.0074,N,0.0136,N,N,0.0032,N,0.0242,N,0.0019,N,0.81,Y,0.0005,N,0.0004,N
대전광역시,201705,0.0147,N,0.024,N,Y,0.0047,Y,0.034,Y,0.0042,Y,0.8885,Y,0.0007,N,0.0053,Y
울산광역시,201705,0.022,Y,0.0342,N,Y,0.0091,Y,0.0575,Y,0.0065,Y,1.0607,Y,0.0021,Y,0.0044,Y
세종특별자치시,201705,0.0176,N,0.0229,N,N,0.0063,N,0.0422,N,0.0043,N,1.029,N,0.0009,N,0.0042,N
경기도,201705,0.0404,Y,0.031,N,Y,0.012,Y,0.068,Y,0.0066,Y,2.1778,Y,0.0013,Y,0.0071,Y
강원도,201705,0.0107,N,0.0188,N,N,0.0032,N,0.0408,Y,0.0056,Y,1.0391,Y,0.0007,N,0.0035,N
충청북도,201705,0.0169,Y,0.0162,N,N,0.0056,Y,0.0221,N,0.0039,N,0.65,Y,0.0014,Y,0.0002,N
충청남도,201705,0.0088,N,0.0158,N,N,0.0055,Y,0.0278,N,0.0027,N,0.6191,Y,0.0004,N,0.0019,N
전라북도,201705,0.0138,N,0.0189,N,N,0.002,N,0.0252,N,0.0024,N,0.7946,Y,0.0005,N,0.0013,N
전라남도,201705,0.0176,N,0.0229,N,N,0.0063,N,0.0422,N,0.0043,N,1.029,N,0.0009,N,0.0042,N
경상북도,201705,0.0124,N,0.0211,N,N,0.0068,Y,0.0602,Y,0.0008,N,1.0691,Y,0.0004,N,0.007,Y
경상남도,201705,0.01,N,0.0142,N,N,0.0086,Y,0.0554,Y,0.0027,N,1.0961,Y,0.0005,N,0.0095,Y
서울특별시,201706,0.0303,Y,0.0224,N,Y,0.0073,Y,0.0271,N,0.0052,Y,0.5425,N,0.0007,N,0.0037,Y
부산광역시,201706,0.0166,Y,0.0223,N,Y,0.0052,Y,0.0404,Y,0.0132,Y,0.6214,Y,0.0014,Y,0.004,Y
대구광역시,201706,0.0068,N,0.013,N,N,0.001,N,0.0128,N,0.0006,N,0.3356,N,0.0005,N,0.0009,N
인천광역시,201706,0.016,Y,0.0214,N,N,0.0054,Y,0.024,N,0.0027,N,0.5166,N,0.0007,N,0.0033,N
광주광역시,201706,0.0013,N,0.0084,N,N,0.0006,N,0.0087,N,0.0025,N,0.2877,N,0.0001,N,0.0016,N
대전광역시,201706,0.0107,N,0.0187,N,N,0.004,Y,0.0226,N,0.0002,N,0.5168,N,0.0004,N,0.0038,Y
울산광역시,201706,0.0135,N,0.0267,N,Y,0.0053,Y,0.0249,N,0.0051,Y,0.461,N,0.0015,Y,0.0026,N
세종특별자치시,201706,0.0154,N,0.0177,N,N,0.0041,N,0.022,N,0.0033,N,0.4512,N,0.0006,N,0.0029,N
경기도,201706,0.0735,Y,0.0248,N,Y,0.0096,Y,0.0266,N,0.0043,Y,0.6947,Y,0.0007,N,0.0048,Y
강원도,201706,0.01,N,0.0132,N,N,0.0018,N,0.0239,N,0.0041,N,0.3869,N,0.0009,Y,0.0046,Y
충청북도,201706,0.0112,N,0.011,N,N,0.0018,N,0.011,N,0.0018,N,0.2836,N,0.0008,N,0.0008,N
충청남도,201706,0.0074,N,0.0104,N,N,0.0058,Y,0.0206,N,0.002,N,0.4186,N,0.0003,N,0.0016,N
