STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수,평균기온,평균상대습도,평균증기압,평균최고기온,평균최저기온,평균풍속,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_PM2.5,PM2_BAD,PM2_35BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_일산화,일산화_9BAD,일산화_BAD,차량수,AVG_구리,구리_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_니켈,니켈_BAD,AVG_망간,망간_BAD,AVG_비소,비소_BAD,AVG_철,철_BAD,AVG_카드뮴,카드뮴_BAD,AVG_크롬,크롬_BAD
202004,서울특별시,162136,31160,18388,11.1,50.0,6.6,16.6,6.3,3.0,44.0,Y,N,21.0,N,N,0.003,N,N,0.021,N,N,Y,0.4,N,N,3128523.0,0.016,Y,0.0205,N,N,0.0025,N,0.0292,N,0.0082,Y,0.9243,Y,0.0009,Y,0.003,N
202005,서울특별시,228549,34064,21441,18.0,67.0,13.5,23.3,13.7,2.4,35.0,N,N,19.0,N,N,0.003,N,N,0.02,N,N,Y,0.4,N,N,3133353.0,0.0193,Y,0.0083,N,N,0.0019,N,0.0298,N,0.0019,N,0.8887,Y,0.0002,N,0.0023,N
202006,서울특별시,167901,34921,17319,23.9,67.0,19.4,29.0,19.9,2.3,36.0,N,N,21.0,N,N,0.003,N,N,0.019,N,N,Y,0.4,N,N,3141710.0,0.0276,Y,0.0215,N,N,0.0017,N,0.024,N,0.007,Y,0.8008,Y,0.0006,N,0.0028,N
202007,서울특별시,156401,30948,16072,24.1,76.0,22.7,28.0,21.1,2.4,21.0,N,N,13.0,N,N,0.002,N,N,0.016,N,N,N,0.4,N,N,3147149.0,0.0209,Y,0.0137,N,N,0.0017,N,0.0132,N,0.0069,Y,0.4152,N,0.0004,N,0.0024,N
202008,서울특별시,152151,32896,14708,26.5,85.0,29.2,29.3,24.4,2.3,23.0,N,N,14.0,N,N,0.003,N,N,0.014,N,N,N,0.3,N,N,3148071.0,0.0158,Y,0.0058,N,N,0.0016,N,0.012,N,0.0006,N,0.3197,N,0.0002,N,0.0016,N
202009,서울특별시,258963,34539,19893,21.4,71.0,17.9,25.6,18.0,2.5,19.0,N,N,11.0,N,N,0.003,N,N,0.016,N,N,N,0.4,N,N,3151842.0,0.014,N,0.01,N,N,0.001,N,0.0105,N,0.0033,N,0.3412,N,0.0003,N,0.0017,N
202010,서울특별시,236310,32210,19741,14.3,60.0,10.0,19.5,9.6,2.1,33.0,N,N,17.0,N,N,0.003,N,N,0.025,N,N,Y,0.5,N,Y,3153732.0,0.0128,N,0.0159,N,N,0.0006,N,0.0122,N,0.0124,Y,0.5739,N,0.0004,N,0.0016,N
202011,서울특별시,243282,28065,20944,8.0,64.0,7.4,12.6,4.0,2.2,42.0,Y,N,24.0,Y,N,0.003,N,N,0.03,N,N,Y,0.6,N,Y,3157278.0,0.0453,Y,0.0347,N,Y,0.0018,N,0.0353,Y,0.0482,Y,1.2127,Y,0.0002,N,0.005,Y
202012,서울특별시,155861,29475,16310,-0.3,58.0,3.7,3.9,-4.2,2.2,42.0,Y,N,27.0,Y,N,0.004,N,N,0.032,N,Y,Y,0.6,N,Y,3157361.0,0.0274,Y,0.0364,N,Y,0.0017,N,0.0294,N,0.0068,Y,0.8168,Y,0.0005,N,0.0045,Y
202101,서울특별시,123377,27367,13828,-2.4,57.0,3.4,2.2,-6.8,2.5,38.0,N,N,21.0,N,N,0.004,N,N,0.031,N,Y,Y,0.6,N,Y,3159552.0,0.0203,Y,0.0373,N,Y,0.0031,N,0.0401,Y,0.0051,Y,1.1532,Y,0.001,Y,0.0058,Y
202102,서울특별시,134079,27033,13276,2.7,56.0,4.4,7.9,-2.2,2.6,48.0,Y,N,29.0,Y,N,0.003,N,N,0.03,N,N,Y,0.6,N,Y,3158102.0,0.0253,Y,0.0297,N,Y,0.0024,N,0.0193,N,0.0035,N,0.5473,N,0.0008,N,0.0035,N
202103,서울특별시,257576,30940,21168,9.0,63.0,7.0,14.8,4.3,2.4,67.0,Y,N,32.0,Y,N,0.003,N,N,0.032,N,Y,Y,0.5,N,Y,3158710.0,0.0506,Y,0.0476,N,Y,0.0042,Y,0.0404,Y,0.0105,Y,1.1628,Y,0.001,Y,0.0061,Y
202104,서울특별시,297440,32548,24965,14.2,54.0,8.4,19.5,9.5,2.6,42.0,Y,N,19.0,N,N,0.003,N,N,0.022,N,N,Y,0.4,N,N,3159075.0,0.0244,Y,0.0187,N,N,0.0022,N,0.024,N,0.0064,Y,0.8167,Y,0.0005,N,0.0047,Y
202105,서울특별시,178641,29776,19470,17.1,68.0,13.0,21.9,12.8,2.4,61.0,Y,N,20.0,N,N,0.003,N,N,0.019,N,N,Y,0.4,N,N,3160629.0,0.033,Y,0.0182,N,N,0.0028,N,0.0264,N,0.0039,N,0.9745,Y,0.0008,N,0.0052,Y
202106,서울특별시,155755,33623,16505,22.8,73.0,19.8,27.6,18.9,2.2,33.0,N,N,19.0,N,N,0.003,N,N,0.018,N,N,N,0.4,N,N,3162985.0,0.0276,Y,0.0128,N,N,0.003,N,0.0236,N,0.001,N,0.7474,Y,0.0007,N,0.0049,Y
202107,서울특별시,138390,34765,13505,28.1,71.0,26.4,32.2,24.6,2.0,24.0,N,N,15.0,N,N,0.003,N,N,0.016,N,N,N,0.3,N,N,3171767.0,0.0336,Y,0.0093,N,N,0.0023,N,0.0185,N,0.001,N,0.5644,N,0.0002,N,0.0027,N
202108,서울특별시,147809,32585,13882,25.9,74.0,24.3,29.7,22.8,2.1,22.0,N,N,13.0,N,N,0.003,N,N,0.015,N,N,N,0.4,N,N,3171749.0,0.0144,N,0.0077,N,N,0.0012,N,0.0106,N,0.0035,N,0.3985,N,0.0001,N,0.0017,N
202109,서울특별시,273508,33145,19028,22.6,71.0,19.0,26.9,18.8,2.3,15.0,N,N,7.0,N,N,0.003,N,N,0.014,N,N,N,0.4,N,N,3175142.0,0.02,Y,0.0108,N,N,0.0012,N,0.0113,N,0.0017,N,0.401,N,0.0002,N,0.0019,N
