날짜,이름,측정망 정보,아황산가스 농도,일산화탄소 농도,오존 농도,이산화질소 농도,미세먼지(PM10) 농도,초미세먼지(PM2.5) 농도
2023-11-29 09:00,강진읍,도시대기,0.003,0.4,0.005,0.015,17,10
2023-11-29 09:00,해남읍,도시대기,0.002,0.5,0.004,0.018,33,11
2023-11-29 09:00,대불,도시대기,0.002,0.4,0.007,0.016,48,27
2023-11-29 09:00,무안읍,도시대기,0.003,0.5,0.002,0.020,36,15
2023-11-29 09:00,함평읍,도시대기,0.003,0.5,0.006,0.014,24,10
2023-11-29 09:00,영광읍,도시대기,0.002,0.3,0.014,0.014,22,19
2023-11-29 09:00,장성읍,도시대기,0.002,0.4,0.003,0.027,24,10
2023-11-29 09:00,신지면,도시대기,0.002,0.6,0.006,0.005,17,-
2023-11-29 09:00,진도읍,도시대기,0.003,0.5,0.005,0.017,18,8
2023-11-29 09:00,신안군,도시대기,0.001,0.3,0.009,0.021,12,10
2023-11-29 09:00,3공단,도시대기,0.002,0.3,0.024,0.016,42,22
2023-11-29 09:00,양덕동,도시대기,0.002,0.3,0.022,0.013,42,21
2023-11-29 09:00,보덕동,도시대기,0.003,0.3,0.015,0.017,21,17
2023-11-29 09:00,대광동,도시대기,0.003,0.4,0.028,0.018,32,15
2023-11-29 09:00,명륜동,도시대기,0.003,0.9,0.014,0.023,28,-
2023-11-29 09:00,4공단,도시대기,0.003,0.4,0.021,0.013,30,20
2023-11-29 09:00,가흥동,도시대기,0.003,0.5,0.025,0.019,30,20
