STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수,AVG_PM2.5,PM2_BAD,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_일산화,일산화_9BAD,일산화_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_오존,오존_BAD,오존0.06_BAD,오존0.1_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD
201609,부산광역시,157512,6325,18529,21.0,N,36.0,N,N,0.3,N,N,0.016,N,N,N,0.03,Y,N,N,0.0214,N,N,0.005,N,Y
201610,부산광역시,166801,6553,21445,21.0,N,37.0,N,N,0.4,N,N,0.018,N,N,N,0.025,N,N,N,0.0232,N,Y,0.005,N,Y
201611,부산광역시,166158,6706,21083,31.0,N,49.0,Y,N,0.4,N,N,0.024,N,N,Y,0.02,N,N,N,0.013,N,N,0.005,N,Y
201612,부산광역시,193116,6122,22565,30.0,N,44.0,Y,N,0.5,N,Y,0.026,N,N,Y,0.018,N,N,N,0.0252,N,Y,0.005,N,Y
201701,부산광역시,141548,6342,17812,31.0,N,45.0,Y,N,0.4,N,N,0.024,N,N,Y,0.024,N,N,N,0.0133,N,N,0.005,N,Y
201702,부산광역시,129342,6260,16141,27.0,N,42.0,Y,N,0.4,N,N,0.021,N,N,Y,0.031,Y,N,N,0.015,N,N,0.005,N,Y
201703,부산광역시,186955,6693,20896,34.0,N,52.0,Y,N,0.4,N,N,0.022,N,N,Y,0.022,N,N,N,0.0122,N,N,0.005,N,Y
201704,부산광역시,170404,6528,20861,27.0,N,54.0,Y,N,0.4,N,N,0.021,N,N,Y,0.042,Y,N,N,0.0147,N,N,0.006,N,Y
201705,부산광역시,129107,7974,17505,29.0,N,58.0,Y,N,0.4,N,N,0.021,N,N,Y,0.044,Y,N,N,0.0137,N,N,0.006,N,Y
201706,부산광역시,97652,7172,12965,26.0,N,42.0,Y,N,0.3,N,N,0.018,N,N,N,0.041,Y,N,N,0.0223,N,Y,0.006,N,Y
201707,부산광역시,87050,8626,11014,23.0,N,37.0,N,N,0.3,N,N,0.017,N,N,N,0.028,N,N,N,0.0102,N,N,0.005,N,Y
201708,부산광역시,99176,7819,11245,16.0,N,28.0,N,N,0.3,N,N,0.013,N,N,N,0.027,N,N,N,0.0121,N,N,0.004,N,N
201709,부산광역시,163184,7022,15688,23.0,N,39.0,N,N,0.3,N,N,0.017,N,N,N,0.033,Y,N,N,0.0157,N,N,0.004,N,N
201710,부산광역시,152329,6227,15360,16.0,N,32.0,N,N,0.3,N,N,0.016,N,N,N,0.03,Y,N,N,0.0098,N,N,0.004,N,N
201711,부산광역시,195268,6990,19076,27.0,N,50.0,Y,N,0.4,N,N,0.025,N,N,Y,0.023,N,N,N,0.0143,N,N,0.004,N,N
201712,부산광역시,232007,6132,21032,28.0,N,46.0,Y,N,0.4,N,N,0.023,N,N,Y,0.02,N,N,N,0.0118,N,N,0.004,N,N
201801,부산광역시,198788,6305,21021,28.0,N,45.0,Y,N,0.4,N,N,0.022,N,N,Y,0.021,N,N,N,0.0118,N,N,0.004,N,N
201802,부산광역시,129200,6173,14035,30.0,N,52.0,Y,N,0.4,N,N,0.022,N,N,Y,0.027,N,N,N,0.0148,N,N,0.005,N,Y
201803,부산광역시,168569,6650,17798,26.0,N,44.0,Y,N,0.4,N,N,0.021,N,N,Y,0.034,Y,N,N,0.008,N,N,0.005,N,Y
201804,부산광역시,169549,7031,19848,28.0,N,63.0,Y,N,0.3,N,N,0.019,N,N,Y,0.039,Y,N,N,0.012,N,N,0.005,N,Y
201805,부산광역시,127391,7324,16923,24.0,N,44.0,Y,N,0.3,N,N,0.018,N,N,N,0.039,Y,N,N,0.0102,N,N,0.006,N,Y
201806,부산광역시,99888,7363,13587,25.0,N,41.0,N,N,0.3,N,N,0.019,N,N,Y,0.038,Y,N,N,0.0202,N,N,0.006,N,Y
201807,부산광역시,86217,8634,10787,23.0,N,37.0,N,N,0.3,N,N,0.016,N,N,N,0.026,N,N,N,0.0171,N,N,0.007,N,Y
201808,부산광역시,88749,7681,10743,14.0,N,28.0,N,N,0.3,N,N,0.012,N,N,N,0.025,N,N,N,0.0212,N,N,0.005,N,Y
201809,부산광역시,165641,6380,15062,14.0,N,26.0,N,N,0.3,N,N,0.014,N,N,N,0.031,Y,N,N,0.0151,N,N,0.004,N,N
201810,부산광역시,185160,7346,18057,17.0,N,32.0,N,N,0.4,N,N,0.019,N,N,Y,0.028,N,N,N,0.0194,N,N,0.004,N,N
201811,부산광역시,171246,6492,18685,26.0,N,47.0,Y,N,0.4,N,N,0.027,N,N,Y,0.02,N,N,N,0.0266,N,Y,0.004,N,N
201812,부산광역시,200429,6552,20023,23.0,N,40.0,N,N,0.4,N,N,0.023,N,N,Y,0.019,N,N,N,0.0165,N,N,0.004,N,N
201901,부산광역시,143538,7285,16007,29.0,N,48.0,Y,N,0.4,N,N,0.024,N,N,Y,0.023,N,N,N,0.0227,N,Y,0.005,N,Y
201902,부산광역시,123824,6391,12378,28.0,N,48.0,Y,N,0.4,N,N,0.022,N,N,Y,0.029,Y,N,N,0.022,N,N,0.004,N,N
201903,부산광역시,168318,7491,15825,30.0,N,51.0,Y,N,0.4,N,N,0.02,N,N,Y,0.039,Y,N,N,0.0281,N,Y,0.004,N,N
201904,부산광역시,174414,7754,18091,20.0,N,40.0,N,N,0.4,N,N,0.019,N,N,Y,0.037,Y,N,N,0.0118,N,N,0.005,N,Y
201905,부산광역시,134896,8872,17333,25.0,N,47.0,Y,N,0.4,N,N,0.021,N,N,Y,0.048,Y,N,N,0.0202,N,N,0.006,N,Y
201906,부산광역시,91641,7423,12466,21.0,N,32.0,N,N,0.4,N,N,0.016,N,N,N,0.038,Y,N,N,0.0202,N,N,0.006,N,Y
201907,부산광역시,94916,9227,11845,18.0,N,26.0,N,N,0.3,N,N,0.015,N,N,N,0.028,N,N,N,0.0174,N,N,0.005,N,Y
201908,부산광역시,94287,9265,11251,19.0,N,30.0,N,N,0.4,N,N,0.014,N,N,N,0.03,Y,N,N,0.0092,N,N,0.005,N,Y
201909,부산광역시,154613,8059,14433,13.0,N,24.0,N,N,0.3,N,N,0.015,N,N,N,0.028,N,N,N,0.0156,N,N,0.004,N,N
201910,부산광역시,180171,8200,17564,13.0,N,27.0,N,N,0.3,N,N,0.017,N,N,N,0.029,Y,N,N,0.0133,N,N,0.004,N,N
201911,부산광역시,179480,7498,18140,17.0,N,35.0,N,N,0.4,N,N,0.023,N,N,Y,0.023,N,N,N,0.0202,N,N,0.004,N,N
201912,부산광역시,195409,7486,19167,23.0,N,35.0,N,N,0.5,N,Y,0.026,N,N,Y,0.018,N,N,N,0.0196,N,N,0.004,N,N
202001,부산광역시,176458,7258,17417,21.0,N,32.0,N,N,0.4,N,N,0.021,N,N,Y,0.023,N,N,N,0.0134,N,N,0.004,N,N
202002,부산광역시,99019,6494,11281,22.0,N,34.0,N,N,0.4,N,N,0.02,N,N,Y,0.027,N,N,N,0.0259,N,Y,0.004,N,N
202003,부산광역시,62391,7379,7952,16.0,N,33.0,N,N,0.4,N,N,0.016,N,N,N,0.034,Y,N,N,0.0161,N,N,0.003,N,N
202004,부산광역시,57016,8323,6817,17.0,N,36.0,N,N,0.4,N,N,0.014,N,N,N,0.044,Y,N,N,0.0173,N,N,0.003,N,N
202005,부산광역시,70900,9382,7253,17.0,N,32.0,N,N,0.4,N,N,0.014,N,N,N,0.041,Y,N,N,0.01,N,N,0.004,N,N
