STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM
201411,대구광역시,1,0,172,134122
201412,대구광역시,1,0,126,118430
201501,대구광역시,1,0,120,98788
201502,대구광역시,1,0,131,108950
201503,대구광역시,1,0,190,134991
201504,대구광역시,1,0,184,116901
201505,대구광역시,1,0,144,83072
201506,대구광역시,1,0,74,60713
201507,대구광역시,1,0,163,56655
201508,대구광역시,1,0,192,70712
201509,대구광역시,1,0,234,143010
201510,대구광역시,1,0,203,118302
201511,대구광역시,1,0,120,107570
201512,대구광역시,1,0,149,128145
201601,대구광역시,1,0,151,121534
201602,대구광역시,1,0,182,127856
201603,대구광역시,1,0,209,121750
201604,대구광역시,1,0,140,113104
201605,대구광역시,1,0,156,85983
201606,대구광역시,1,0,114,65506
201607,대구광역시,1,0,120,66433
201608,대구광역시,1,0,165,76073
201609,대구광역시,1,0,222,124248
201610,대구광역시,1,0,227,130928
201611,대구광역시,1,0,183,122060
201612,대구광역시,1,0,127,148080
201701,대구광역시,1,0,117,93746
201702,대구광역시,1,0,176,96353
201703,대구광역시,1,0,204,128204
201704,대구광역시,1,0,177,131056
201705,대구광역시,1,0,135,91329
201706,대구광역시,1,0,144,69220
201707,대구광역시,1,0,125,63854
201708,대구광역시,1,0,147,82385
201709,대구광역시,1,0,204,135516
201710,대구광역시,1,0,175,105121
201711,대구광역시,1,0,188,137352
201712,대구광역시,1,0,137,159358
201801,대구광역시,1,0,136,144913
201802,대구광역시,1,0,150,92805
201803,대구광역시,1,0,219,121794
201804,대구광역시,1,0,180,135007
201805,대구광역시,1,0,106,89131
201806,대구광역시,1,0,116,68308
201807,대구광역시,1,0,101,63061
201808,대구광역시,1,0,130,65433
201809,대구광역시,1,0,229,134314
201810,대구광역시,1,0,221,131002
201811,대구광역시,1,0,180,131100
201812,대구광역시,1,0,103,143524
201901,대구광역시,1,0,89,98536
201902,대구광역시,1,0,143,83166
201903,대구광역시,1,0,217,122822
201904,대구광역시,1,0,163,136253
201905,대구광역시,1,0,164,94446
201906,대구광역시,1,0,98,62130
201907,대구광역시,1,0,109,70272
201908,대구광역시,1,0,129,68116
201909,대구광역시,1,0,187,123851
201910,대구광역시,1,0,179,126757
201911,대구광역시,1,0,137,124706
201912,대구광역시,1,0,123,137717
202001,대구광역시,1,0,87,124316
202002,대구광역시,1,0,66,71004
202003,대구광역시,1,0,32,39177
202004,대구광역시,1,0,63,43608
202005,대구광역시,1,0,123,44317
202006,대구광역시,1,0,249,51892
202007,대구광역시,1,0,151,55481
202008,대구광역시,1,0,85,43875
202009,대구광역시,1,0,128,80474
202010,대구광역시,1,0,273,87445
202011,대구광역시,1,0,153,71270
202012,대구광역시,1,0,95,52649
202101,대구광역시,1,0,52,35747
202102,대구광역시,1,0,135,41532
202103,대구광역시,1,0,338,81129
202104,대구광역시,1,0,169,98425
202105,대구광역시,1,0,88,51546
202107,대구광역시,1,0,121,41890
202108,대구광역시,1,0,141,46539
202110,대구광역시,1,0,210,86024
202111,대구광역시,1,0,161,101131
202112,대구광역시,1,0,116,61273
202201,대구광역시,1,0,154,64365
202202,대구광역시,1,0,91,87709
202203,대구광역시,1,0,150,123031
202204,대구광역시,1,0,287,103280
202205,대구광역시,1,0,181,57930
202206,대구광역시,1,0,135,56722
202207,대구광역시,1,0,129,66500
202208,대구광역시,1,0,90,79832
202209,대구광역시,1,0,150,91363
202210,대구광역시,1,0,184,96446
202211,대구광역시,1,0,115,102670
202212,대구광역시,1,0,85,108462
200601,인천광역시,1,0,87,63928
200602,인천광역시,1,0,109,53757
200603,인천광역시,1,0,166,77145
200604,인천광역시,1,0,156,76024
200605,인천광역시,1,0,130,63590
200606,인천광역시,1,0,100,46678
200607,인천광역시,1,0,75,39600
200608,인천광역시,1,0,94,44251
200609,인천광역시,1,0,164,97232
200610,인천광역시,1,0,130,66726
200611,인천광역시,1,0,130,90321
200612,인천광역시,1,0,117,88384
200701,인천광역시,1,0,87,81684
200702,인천광역시,1,0,111,55569
200703,인천광역시,1,0,162,74293
200704,인천광역시,1,0,156,81208
200705,인천광역시,1,0,130,65789
200706,인천광역시,1,0,125,49924
200707,인천광역시,1,0,115,47521
200708,인천광역시,1,0,105,49473
200709,인천광역시,1,0,169,109205
200710,인천광역시,1,0,203,98924
200711,인천광역시,1,0,136,98367
200712,인천광역시,1,0,121,109243
200801,인천광역시,1,0,106,87920
200802,인천광역시,1,0,137,91321
200803,인천광역시,1,0,203,91701
200804,인천광역시,1,0,146,88986
200805,인천광역시,1,0,136,76265
200806,인천광역시,1,0,110,60252
200807,인천광역시,1,0,73,48845
200808,인천광역시,1,0,96,61000
200809,인천광역시,1,0,152,104530
200810,인천광역시,1,0,193,97838
200811,인천광역시,1,0,168,95414
200812,인천광역시,1,0,154,124532
200901,인천광역시,1,0,110,90186
200902,인천광역시,1,0,131,64238
200903,인천광역시,1,0,193,106262
200904,인천광역시,1,0,164,112415
200905,인천광역시,1,0,141,88138
200906,인천광역시,1,0,114,67310
200907,인천광역시,1,0,112,60033
200908,인천광역시,1,0,136,82890
200909,인천광역시,1,0,170,149068
200910,인천광역시,1,0,175,137266
200911,인천광역시,1,0,128,128394
200912,인천광역시,1,0,143,117556
201001,인천광역시,1,0,111,100088
201002,인천광역시,1,0,133,86716
201003,인천광역시,1,0,222,123586
201004,인천광역시,1,0,154,128373
201005,인천광역시,1,0,144,97359
201006,인천광역시,1,0,144,71772
201007,인천광역시,1,0,109,62141
201008,인천광역시,1,0,114,64974
201009,인천광역시,1,0,177,152255
201010,인천광역시,1,0,193,137875
201011,인천광역시,1,0,151,114197
201012,인천광역시,1,0,124,132166
201101,인천광역시,1,0,129,103675
201102,인천광역시,1,0,150,89543
201103,인천광역시,1,0,192,131119
201104,인천광역시,1,0,161,108061
201105,인천광역시,1,0,188,100897
201106,인천광역시,1,0,128,72564
201107,인천광역시,1,0,140,62230
201108,인천광역시,1,0,140,84343
201109,인천광역시,1,0,187,149307
201110,인천광역시,1,0,204,138170
201111,인천광역시,1,0,189,121994
201112,인천광역시,1,0,224,139604
201201,인천광역시,1,0,204,125574
201202,인천광역시,1,0,190,124750
201203,인천광역시,1,0,291,145564
201204,인천광역시,1,0,246,124440
201205,인천광역시,1,0,187,107431
201207,인천광역시,1,0,211,66942
201208,인천광역시,1,0,208,77477
201209,인천광역시,1,0,261,162643
201210,인천광역시,1,0,297,136186
201211,인천광역시,1,0,289,126265
201212,인천광역시,1,0,199,116496
201301,인천광역시,1,0,257,122955
201302,인천광역시,1,0,274,122608
201303,인천광역시,1,0,336,147644
201304,인천광역시,1,0,255,131560
201305,인천광역시,1,0,204,105325
201306,인천광역시,1,0,191,73186
201307,인천광역시,1,0,205,71600
201308,인천광역시,1,0,243,91446
201309,인천광역시,1,0,322,163197
201310,인천광역시,1,0,283,138185
201311,인천광역시,1,0,249,133679
201312,인천광역시,1,0,219,116945
201401,인천광역시,1,0,219,144383
201402,인천광역시,1,0,268,173729
201403,인천광역시,1,0,357,127679
201404,인천광역시,1,0,257,128607
201405,인천광역시,1,0,280,104751
201406,인천광역시,1,0,161,77148
201407,인천광역시,1,0,209,85324
201408,인천광역시,1,0,268,98588
201409,인천광역시,1,0,344,159038
201410,인천광역시,1,0,307,155255
201411,인천광역시,1,0,270,158124
201412,인천광역시,1,0,246,137639
201501,인천광역시,1,0,219,120861
201502,인천광역시,1,0,229,126290
201503,인천광역시,1,0,336,158818
201504,인천광역시,1,0,307,134782
201505,인천광역시,1,0,245,106502
201506,인천광역시,1,0,169,74770
201507,인천광역시,1,0,247,72888
201508,인천광역시,1,0,248,96541
201509,인천광역시,1,0,360,168547
201510,인천광역시,1,0,301,142920
201511,인천광역시,1,0,311,146243
201512,인천광역시,1,0,321,170841
201601,인천광역시,1,0,267,138702
201602,인천광역시,1,0,358,138064
201603,인천광역시,1,0,370,154228
201604,인천광역시,1,0,262,136185
201605,인천광역시,1,0,271,113232
201606,인천광역시,1,0,184,86491
201607,인천광역시,1,0,219,84807
201608,인천광역시,1,0,242,104678
201609,인천광역시,1,0,271,151358
201610,인천광역시,1,0,293,155604
201611,인천광역시,1,0,304,157997
201612,인천광역시,1,0,253,200654
201701,인천광역시,1,0,177,109740
201702,인천광역시,1,0,289,115955
201703,인천광역시,1,0,356,166337
201704,인천광역시,1,0,259,147978
201705,인천광역시,1,0,239,118252
201706,인천광역시,1,0,207,89939
201707,인천광역시,1,0,203,85052
201708,인천광역시,1,0,211,118521
201709,인천광역시,1,0,303,171235
201710,인천광역시,1,0,255,134024
201711,인천광역시,1,0,247,174229
201712,인천광역시,1,0,213,199300
201801,인천광역시,1,0,167,176522
201802,인천광역시,1,0,189,107903
201803,인천광역시,1,0,316,144845
201804,인천광역시,1,0,287,149266
201805,인천광역시,1,0,217,120806
201806,인천광역시,1,0,178,89246
201807,인천광역시,1,0,265,81362
201808,인천광역시,1,0,202,86978
201809,인천광역시,1,0,395,173064
201810,인천광역시,1,0,336,166677
201811,인천광역시,1,0,265,165787
201812,인천광역시,1,0,218,175485
201901,인천광역시,1,0,178,120509
201902,인천광역시,1,0,262,104738
201903,인천광역시,1,0,404,157805
201904,인천광역시,1,0,320,162822
201905,인천광역시,1,0,285,128620
201907,인천광역시,1,0,211,86594
201908,인천광역시,1,0,217,98292
