,index,지역명,측정소명,주소,운영기관,설치년도,위도,경도,구
118,249,충북,송정동(봉명동),충북 청주시 흥덕구 직지대로 393(송정동) 충북문화재연구원 옥상,충청북도보건환경연구원,1989.0,36.6448655355486,127.4367816619,청주시흥덕구
119,250,충북,영동읍,충청북도 영동군 영동읍 계산로2길 25 레인보우도서관 옥상,충청북도보건환경연구원,2018.0,36.1727527194374,127.77779094926,영동군
120,251,충북,영천동,충청북도 제천시 청풍호로8길 7 비점오염원 관리시설 뒤편 공터 (영천동),충청북도보건환경연구원,,37.1241064235549,128.200858294211,제천시
121,254,충북,옥천읍,충북 옥천군 옥천읍 중앙로 99(옥천군청 통합관제 센터 옥상) 옥천군청 통합관제 센터 옥상,충청북도보건환경연구원,2017.0,36.3058564614158,127.571572404035,옥천군
122,266,세종,부강면,세종특별자치시 부강면 부강외천로 20 문화복지회관 옥상,세종특별자치시보건환경연구원,2018.0,36.5270775723323,127.370358312053,세종특별자치시
123,271,부산,개금동,부산광역시 부산진구 개금온정로17번길 51 개금3동 어린이놀이터 지상 (개금동),부산광역시보건환경연구원,2019.0,35.1552027665379,129.022660593394,부산진구
124,273,부산,광안동,부산 수영구 광안로21번가길 57 한바다중학교 옥상,부산광역시보건환경연구원,2001.0,35.1572924115621,129.117611853193,수영구
125,274,부산,기장읍,부산 기장군 기장읍 읍내로 69 기장초등학교 옥상,부산광역시보건환경연구원,1999.0,35.2458010248056,129.21276466248,기장군
126,276,부산,당리동,부산 사하구 제석로 41 낙동초등학교 운동장 동편 화단 (당리동),부산광역시보건환경연구원,2019.0,35.1055572484486,128.972366232595,사하구
127,281,부산,덕포동,부산 사상구 삼덕로 83 덕포초등학교 운동장 북서쪽 화단 (덕포동),부산광역시보건환경연구원,2018.0,35.1739318359051,128.986027845248,사상구
128,282,부산,명장동,부산 동래구 명장로 32 명장1동 주민센터 옥상,부산광역시보건환경연구원,2002.0,35.2046966233295,129.104247832569,동래구
129,284,부산,부곡동,부산 금정구 부곡로156번길 7 부곡2동 주민센터 옥상 (부곡동),부산광역시보건환경연구원,2000.0,35.2298385757335,129.092698337909,금정구
130,286,부산,연산동,부산 연제구 중앙대로 1001 부산광역시청 녹음광장 창고,부산광역시보건환경연구원,2018.0,35.17992598569,129.07509523457,연제구
131,290,부산,재송동,부산광역시 해운대구 센텀동로 191 동부하수처리장 (재송동),부산광역시보건환경연구원,2019.0,,,해운대구
132,294,부산,청학동,부산광역시 영도구 청학남로13번길 18 청학동 어울림마당 (청학동),부산광역시보건환경연구원,2019.0,35.0907590792115,129.05949686454,영도구
133,301,울산,덕신리,울산광역시 울주군 온산읍 덕신로 229 고려아연(주) 사택 주차장,울산광역시보건환경연구원,1993.0,35.4338839911089,129.306715755053,울주군
134,318,대구,군위읍,대구광역시 군위군 군위읍 군청로 158 군위종합테니스장 옥상,대구광역시보건환경연구원,2019.0,36.2377123994957,128.574021887123,군위군
135,321,대구,다사읍,대구광역시 달성군 다사읍 매곡로12길 37 다사읍주민자치센터,대구광역시보건환경연구원,2018.0,35.864806459845,128.457304973104,달성군
136,323,대구,만촌동,대구 수성구 만촌2동 934 (동원초등학교)(국채보상로 1000) 동원초등학교,대구광역시보건환경연구원,1996.0,35.865321271763,128.639696032245,수성구
137,324,대구,본동,대구광역시 달서구 구마로26길 62 본동행정복지센터 (본동),대구광역시보건환경연구원,2019.0,35.8344407802131,128.541042383177,달서구
138,339,경북,4공단,경상북도 구미시 산동읍 첨단기업1로 17 구미전자정보기술원 혁신관 옥상,경상북도보건환경연구원,2010.0,36.1426648577183,128.438954150553,구미시
139,340,경북,가흥동,경북 영주시 가흥로 263 시립도서관 내 (가흥동),경상북도보건환경연구원,2019.0,36.8208530770399,128.612910076358,영주시
